frame_index,time_s,mean_intensity,std_intensity,p01_intensity,p05_intensity,p50_intensity,p95_intensity,p99_intensity,robust_dynamic_range_p95_p05,saturated_fraction_ge250,dark_fraction_le5,normalized_laplacian_variance,normalized_tenengrad,particle_like_blob_count_proxy,particle_like_blob_density_proxy,particle_like_area_fraction_proxy,large_bright_component_area_fraction_proxy,optical_dark_region_fraction_proxy,optical_dark_region_cx_proxy,optical_dark_region_cy_proxy
0,0.0,50.36197337962963,21.48363075450461,46.0,47.0,48.0,48.0,209.0,1.0,0.004761284722222222,0.0,4.416419982910156,23.403303146362305,2.0,1.54320987654321e-05,2.3148148148148147e-05,0.042291666666666665,0.4099382716049383,0.5555429373861811,0.7640640909882228
1,0.06250053839298976,50.36324797453704,21.49086027386993,46.0,47.0,48.0,48.0,209.0,1.0,0.004786844135802469,0.0,4.4049072265625,23.347654342651367,2.0,1.54320987654321e-05,2.3148148148148147e-05,0.04229938271604938,0.4099305555555556,0.555551311579261,0.7640684666461365
2,0.12500107678597952,50.36861786265432,21.63181254461743,46.0,47.0,48.0,48.0,211.0,1.0,0.00560474537037037,0.0,3.967268466949463,23.267375946044922,4.0,3.08641975308642e-05,6.17283950617284e-05,0.04165895061728395,0.4121296296296296,0.554282720044302,0.7629441972718493
3,0.18750161517896927,50.37044222608025,21.707228149677874,46.0,47.0,48.0,48.0,213.0,1.0,0.006066743827160494,0.0,3.521697521209717,23.11373519897461,5.0,3.8580246913580246e-05,9.259259259259259e-05,0.0407716049382716,0.41229166666666667,0.5541214531752973,0.7628553619976571
4,0.25000215357195904,49.84776089891975,21.78955616266961,47.0,47.0,47.0,47.0,214.0,0.0,0.006229745370370371,0.0,2.4890432357788086,17.396512985229492,3.0,2.3148148148148147e-05,0.00017746913580246913,0.054560185185185184,0.9391666666666667,0.5102308388787726,0.502009003590661
5,0.3125026919649488,49.84886332947531,21.80192571102694,47.0,47.0,47.0,47.0,214.0,0.0,0.006304012345679013,0.0,2.475231409072876,17.440834045410156,2.0,1.54320987654321e-05,2.3148148148148147e-05,0.054544753086419755,0.9392052469135802,0.5102215427837908,0.5020073482080065
6,0.37500323035793853,49.8482243441358,21.806441295506264,47.0,47.0,47.0,47.0,214.0,0.0,0.006353202160493827,0.0,2.4733641147613525,17.491512298583984,3.0,2.3148148148148147e-05,3.8580246913580246e-05,0.05451388888888889,0.9391975308641975,0.51021369418296,0.501982733239918
7,0.4375037687509283,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
8,0.5000043071439181,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
9,0.5625048455369078,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
10,0.6250053839298976,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
11,0.6875059223228873,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
12,0.7500064607158771,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
13,0.8125069991088668,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
14,0.8750075375018566,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
15,0.9375080758948463,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
16,1.0000086142878362,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
17,1.062509152680826,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
18,1.1250096910738157,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
19,1.1875102294668054,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
20,1.2500107678597951,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
21,1.312511306252785,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
22,1.3750118446457746,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
23,1.4375123830387644,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
24,1.5000129214317541,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
25,1.5625134598247439,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
26,1.6250139982177336,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
27,1.6875145366107234,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
28,1.7500150750037131,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
29,1.8125156133967029,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
30,1.8750161517896926,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
31,1.9375166901826824,49.848250385802466,21.809963519131013,47.0,47.0,47.0,47.0,214.0,0.0,0.006378761574074074,0.0,2.470154285430908,17.51388931274414,7.0,5.401234567901235e-05,9.259259259259259e-05,0.054328703703703705,0.9391898148148148,0.5102178687654945,0.5019844751200515
