pair_index,frame_a,frame_b,time_a_s,time_b_s,normalized_interframe_mad,normalized_interframe_rmse,normalized_frame_correlation,phase_dx_original_px,phase_dy_original_px,phase_shift_magnitude_original_px,phase_response,pair_saturated_fraction_ge250_mean,pair_saturated_fraction_ge250_max,pair_dark_fraction_le5_mean,pair_dark_fraction_le5_max,pair_normalized_laplacian_variance_mean,pair_normalized_laplacian_variance_max,pair_normalized_tenengrad_mean,pair_normalized_tenengrad_max,pair_particle_like_blob_density_proxy_mean,pair_particle_like_blob_density_proxy_max,pair_particle_like_area_fraction_proxy_mean,pair_particle_like_area_fraction_proxy_max,pair_large_bright_component_area_fraction_proxy_mean,pair_large_bright_component_area_fraction_proxy_max,pair_optical_dark_region_fraction_proxy_mean,pair_optical_dark_region_fraction_proxy_max,pair_optical_dark_region_cx_proxy_mean,pair_optical_dark_region_cx_proxy_jump,pair_optical_dark_region_cy_proxy_mean,pair_optical_dark_region_cy_proxy_jump
0,0,1,0.0,0.06250053839298976,0.0004012345743831247,0.05015408620238304,0.999163535839936,-0.0021225276256018333,-0.0073092487181156685,0.0076111917821533375,0.9989446677764257,0.004774064429012346,0.004786844135802469,0.0,0.0,4.410663604736328,4.416419982910156,23.375478744506836,23.403303146362305,1.54320987654321e-05,1.54320987654321e-05,2.3148148148148147e-05,2.3148148148148147e-05,0.04229552469135803,0.04229938271604938,0.40993441358024696,0.4099382716049383,0.555547124482721,8.37419307986309e-06,0.7640662788171797,4.3756579136688956e-06
1,1,2,0.06250053839298976,0.12500107678597952,0.010601852089166641,0.20827777683734894,0.9854662498486855,-0.02307542908670257,-0.0179668830561468,0.029245244302086006,0.9975141780170393,0.00519579475308642,0.00560474537037037,0.0,0.0,4.1860878467559814,4.4049072265625,23.307515144348145,23.347654342651367,2.314814814814815e-05,3.08641975308642e-05,4.243827160493827e-05,6.17283950617284e-05,0.041979166666666665,0.04229938271604938,0.4110300925925926,0.4121296296296296,0.5549170158117815,0.0012685915349589516,0.7635063319589929,0.0011242693742872234
2,2,3,0.12500107678597952,0.18750161517896927,0.010725308209657669,0.19352959096431732,0.9871908843421179,-0.10243542684827389,0.019132358497813584,0.10420683190308076,1.0039372008523824,0.005835744598765432,0.006066743827160494,0.0,0.0,3.74448299407959,3.967268466949463,23.190555572509766,23.267375946044922,3.472222222222222e-05,3.8580246913580246e-05,7.716049382716049e-05,9.259259259259259e-05,0.04121527777777778,0.04165895061728395,0.4122106481481481,0.41229166666666667,0.5542020866097996,0.0001612668690047503,0.7628997796347532,8.883527419212278e-05
3,3,4,0.18750161517896927,0.25000215357195904,0.4530169665813446,0.6820278763771057,0.9048287022943431,-0.08252336908105917,-0.27924461186091776,0.29118320641452405,0.9940653264081036,0.006148244598765432,0.006229745370370371,0.0,0.0,3.0053703784942627,3.521697521209717,20.25512409210205,23.11373519897461,3.08641975308642e-05,3.8580246913580246e-05,0.00013503086419753085,0.00017746913580246913,0.04766589506172839,0.054560185185185184,0.6757291666666667,0.9391666666666667,0.5321761460270349,0.04389061429652463,0.632432182794159,0.2608463584069961
4,4,5,0.25000215357195904,0.3125026919649488,0.0011882715625688434,0.0516696535050869,0.9987430208044934,-0.06213845656589001,-0.03625804844182312,0.07194326835222731,1.0003572122697477,0.006266878858024691,0.006304012345679013,0.0,0.0,2.4821373224258423,2.4890432357788086,17.418673515319824,17.440834045410156,1.9290123456790123e-05,2.3148148148148147e-05,0.00010030864197530864,0.00017746913580246913,0.05455246913580247,0.054560185185185184,0.9391859567901235,0.9392052469135802,0.5102261908312817,9.29609498179218e-06,0.5020081758993338,1.655382654508486e-06
5,5,6,0.3125026919649488,0.37500323035793853,0.0020679011940956116,0.0707106739282608,0.9976439131707187,-0.0331897158200718,0.05183505311447334,0.06155022313198707,1.0010096585309063,0.00632860725308642,0.006353202160493827,0.0,0.0,2.4742977619171143,2.475231409072876,17.46617317199707,17.491512298583984,1.9290123456790123e-05,2.3148148148148147e-05,3.08641975308642e-05,3.8580246913580246e-05,0.054529320987654326,0.054544753086419755,0.9392013888888888,0.9392052469135802,0.5102176184833754,7.848600830806518e-06,0.5019950407239623,2.461496808847663e-05
6,6,7,0.37500323035793853,0.4375037687509283,0.0007098765345290303,0.040445055812597275,0.9992274304577946,0.0036937285365183925,-0.002482879363583379,0.004450653933479721,1.001091391451565,0.006365981867283951,0.006378761574074074,0.0,0.0,2.4717592000961304,2.4733641147613525,17.502700805664062,17.51388931274414,3.8580246913580246e-05,5.401234567901235e-05,6.558641975308642e-05,9.259259259259259e-05,0.0544212962962963,0.05451388888888889,0.9391936728395062,0.9391975308641975,0.5102157814742272,4.174582534433036e-06,0.5019836041799848,1.7418801334656564e-06
7,7,8,0.4375037687509283,0.5000043071439181,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
8,8,9,0.5000043071439181,0.5625048455369078,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
9,9,10,0.5625048455369078,0.6250053839298976,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
